CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,NOMGEO,AMBITO,SUP_HAS
"020010124","02","001","0124",Isla de Cedros,Rural,234.8115
"020013828","02","001","3828",Ejido Delicias,Rural,35.1364
"020014444","02","001","4444",El Morro,Rural,118.5772
"020014523","02","001","4523",II Sección Ejido Esteban Cantú,Rural,14.0352
"020015155","02","001","5155",Coronel Esteban Cantú [Tercera Sección],Rural,10.4128
"020011309","02","001","1309",Cuatro Milpas,Rural,45.8463
"020015168","02","001","5168",San Miguel,Rural,65.7024
"020011957","02","001","1957",El Vergel [Campo],Rural,19.8637
"020014925","02","001","4925",Balcones Cíbolas del Mar,Rural,10.1930
"020013283","02","001","3283",Baja Beach and Tennis Club,Rural,32.4846
"020013174","02","001","3174",Puerto Escondido,Rural,16.9949
"020013173","02","001","3173",Lomas del Mar,Rural,8.1054
"020011115","02","001","1115",Aguacaliente,Rural,8.2553
"020013171","02","001","3171",Rancho Packard,Rural,21.6694
"020010329","02","001","0329",La Bufadora,Rural,52.4412
"020010736","02","001","0736",Puerto San Isidro,Rural,40.2905
"020012221","02","001","2221",Playa Dorada [Campo],Rural,53.7811
"020010677","02","001","0677",El Ramajal,Rural,31.7029
"020010001","02","001","0001",Ensenada,Urbana,7917.3433
"020010247","02","001","0247",El Sauzal de Rodríguez,Urbana,706.4035
"020011812","02","001","1812",San Miguel (Cíbolas de Mar),Rural,37.7450
"020012160","02","001","2160",Úrsulo Galván,Rural,84.3337
"020011444","02","001","1444",La Jolla [Campo Turístico],Rural,43.0991
"020010184","02","001","0184",Coronel Esteban Cantú,Rural,37.1875
"020012691","02","001","2691",Baja Mar San Diego,Rural,83.4276
"020012157","02","001","2157",Puerto Salina,Rural,69.6222
"020012151","02","001","2151",Punta Piedra,Rural,18.0842
"020012502","02","001","2502",Villas de San Miguel,Rural,24.2157
"020012159","02","001","2159",Angels [Campo],Rural,5.3272
"020013344","02","001","3344",La Misión [Campo Turístico],Rural,18.7516
"020010095","02","001","0095",Ejido Eréndira,Rural,124.0261
"020021350","02","002","1350",Ventana del Mar,Rural,233.5916
"020021343","02","002","1343",La Hacienda,Rural,18.4654
"020023029","02","002","3029",Playa de Oro,Rural,29.6137
"020021623","02","002","1623",Perlas [Campo],Rural,3.8155
"020020417","02","002","0417",Petes Camp El Paraíso,Rural,32.7077
"020020284","02","002","0284",San Felipe,Urbana,1103.6330
"020024803","02","002","4803",Misión los Sahuaros,Rural,10.0911
"020020414","02","002","0414",Playa del Sol,Rural,8.7369
"020040529","02","004","0529",Baja Malibú (Campo Turístico),Rural,28.4392
"020040597","02","004","0597",Punta Banderas,Rural,9.5104
"020040606","02","004","0606",San Antonio del Mar,Rural,50.3987
"020041766","02","004","1766",Baja Malibú,Rural,4.6277
"020041767","02","004","1767",Brisas del Mar,Rural,9.5265
"020041813","02","004","1813",Hacienda del Mar,Rural,7.8727
"020041876","02","004","1876",Real Mediterráneo,Rural,3.1521
"020041385","02","004","1385",Playa Blanca,Rural,4.8598
"020040678","02","004","0678",Real del Mar,Rural,64.2095
"020041298","02","004","1298",Los Delfines,Rural,4.9241
"020040679","02","004","0679",La Esperanza [Granjas Familiares],Rural,137.0401
"020040001","02","004","0001",Tijuana,Urbana,29087.5909
"020042013","02","004","2013",Sueños del Mar,Rural,11.9877
"020041812","02","004","1812",Carrizalejo,Rural,5.8968
"020041919","02","004","1919",San Marino,Rural,56.0136
"020050002","02","005","0002",Alisitos,Rural,6.9916
"020050010","02","005","0010",Campo López,Rural,15.6073
"020050011","02","005","0011",El Morro Surf Ranch,Rural,1.1899
"020050034","02","005","0034",Cuenca Lechera,Rural,38.4553
"020050056","02","005","0056",Las Gaviotas,Rural,12.0770
"020050074","02","005","0074",Medio Camino,Rural,7.9649
"020050075","02","005","0075",Misión Viejo,Rural,13.3080
"020050078","02","005","0078",El Morro Kilómetro Treinta y Ocho,Rural,13.1610
"020050081","02","005","0081",El Pescador [Centro Turístico],Rural,9.2816
"020050085","02","005","0085",Plaza del Mar,Rural,37.2632
"020050086","02","005","0086",Popotla,Rural,11.1515
"020050090","02","005","0090",Puerto Nuevo,Rural,7.5429
"020050193","02","005","0193",Terrazas del Pacífico,Rural,53.4330
"020050202","02","005","0202",Marbella,Rural,123.5019
"020050302","02","005","0302",Costa de Oro,Rural,2.7037
"020050306","02","005","0306",Puerta del Mar,Rural,21.8889
"020050315","02","005","0315",Las Ventanas,Rural,3.3476
"020050414","02","005","0414",Calafia Paradaise Resort and Villas (Torres Calafia),Rural,4.0550
"020050419","02","005","0419",Rodríguez [Campo],Rural,1.9801
"020050322","02","005","0322",Mar de Popotla,Rural,83.4211
"020050052","02","005","0052",Hacienda Vista Mar,Rural,18.8081
"020050150","02","005","0150",Rancho Reynoso,Rural,7.7448
"020050089","02","005","0089",Primo Tapia,Urbana,224.5835
"020050008","02","005","0008",El Campito,Rural,5.9814
"020050249","02","005","0249",El Refugio,Rural,63.4494
"020050028","02","005","0028",Misión del Mar 1ra. y 2da. Sección,Rural,205.6594
"020050194","02","005","0194",Venustiano Carranza,Rural,35.4125
"020050162","02","005","0162",Terrazas del Mar,Rural,71.5116
"020050276","02","005","0276",Casa del Rey [Fraccionamiento],Rural,10.3434
"020050084","02","005","0084",Playas la Misión,Rural,47.1888
"020050064","02","005","0064",Ladrillera Pescador,Rural,52.6683
"020050363","02","005","0363",Villas de Casa Blanca,Rural,16.0281
"020050036","02","005","0036",El Descanso,Rural,93.8786
"020050070","02","005","0070",Marena Cove [Kilómetro Cincuenta y Uno y Medio],Rural,2.3001
"020050361","02","005","0361",Villas de San Ángel,Rural,32.4772
"020050350","02","005","0350",Candiles Dorados,Rural,4.4263
"020050047","02","005","0047",San Rafael,Rural,15.6953
"020050227","02","005","0227",Rancho el Descanso,Rural,20.1222
"020050255","02","005","0255",Los Misterios,Rural,19.1283
"020050230","02","005","0230",Vista Marina,Rural,60.3484
"020050415","02","005","0415",Las Flores [Rancho],Rural,12.1463
"020050305","02","005","0305",Puerto Popotla,Rural,4.3804
"020050226","02","005","0226",Villas de San Pedro,Rural,33.1301
"020050241","02","005","0241",Lomas del Morro,Rural,17.3555
"020050146","02","005","0146",Rancho Matajanil,Rural,13.8880
"020050460","02","005","0460",Las Gaviotas II,Rural,13.9044
"020050465","02","005","0465",San Rafael Segunda Sección,Rural,12.7227
"020050001","02","005","0001",Playas de Rosarito,Urbana,3570.5098
"020060109","02","006","0109",Ejido Chapala,Rural,46.1113
"020060837","02","006","0837",Santa Rosaliíta,Rural,42.7338
"020060126","02","006","0126",Ejido Valle Tranquilo,Rural,29.4387
"020060091","02","006","0091",Costa Brava,Rural,20.8365
"020060077","02","006","0077",Cielito Lindo,Rural,20.9949
"020060235","02","006","0235",El Socorrito,Rural,39.1648
"020060022","02","006","0022",Bahía de los Ángeles,Rural,218.3560
"020060861","02","006","0861",Venustiano Carranza (Santa María),Rural,102.5196
"030010027","03","001","0027",Puerto Magdalena,Rural,10.4374
"030012821","03","001","2821",El Ranchito,Rural,7.7846
"030010049","03","001","0049",Las Barrancas,Rural,39.3284
"030010242","03","001","0242",Puerto Cortés,Rural,4.1602
"030010241","03","001","0241",Puerto Alcatraz,Rural,8.6492
"030010003","03","001","0003",Puerto Adolfo López Mateos,Rural,157.4545
"030010280","03","001","0280",Puerto San Carlos,Urbana,276.6032
"030012086","03","001","2086",San Juanico,Rural,100.2553
"030020115","03","002","0115",Puerto Nuevo,Rural,7.7387
"030020116","03","002","0116",Punta Abreojos,Rural,86.1129
"030020077","03","002","0077",Isla San Marcos,Rural,21.7332
"030020120","03","002","0120",Punta Prieta,Rural,15.8408
"030020119","03","002","0119",Punta Eugenia,Rural,15.0607
"030020165","03","002","0165",Ejido San Lucas,Rural,43.9391
"030020041","03","002","0041",El Coyote,Rural,5.6628
"030020056","03","002","0056",Estero de la Bocana,Rural,77.3316
"030020246","03","002","0246",San Hipólito,Rural,13.3970
"030020715","03","002","0715",Posada Concepción,Rural,1.8874
"030020049","03","002","0049",El Dátil,Rural,10.4938
